id,name,lines_number,lines_route,description,note,coordinateX,coordinateY,next_stop,previous_stop,date_built
1,Ivanićgradska - jug,2,ČRNOMEREC - ŽITNJAK,smjer Žitnjak,,16.01985999900006,45.80384999900008,Ferenščica,Donje Svetice,Fri Feb 15 2002 00:00:00 GMT+0100 (Central European Standard Time)
1,Ivanićgradska - jug,3,LJUBLJANICA - HEINZELOVA,smjer Žitnjak,,16.01985999900006,45.80384999900008,Ferenščica,Donje Svetice,Fri Feb 15 2002 00:00:00 GMT+0100 (Central European Standard Time)
1,Ivanićgradska - jug,13,ŽITNJAK - KVATERNIKOV TRG,smjer Žitnjak,,16.01985999900006,45.80384999900008,Ferenščica,Donje Svetice,Fri Feb 15 2002 00:00:00 GMT+0100 (Central European Standard Time)
2,Ivanićgradska - sjever,2,ČRNOMEREC - ŽITNJAK,smjer Av.Marina Držića,,16.020663,45.804053999000075,Donje Svetice,Ferenšćica,Sat Feb 16 2002 00:00:00 GMT+0100 (Central European Standard Time)
2,Ivanićgradska - sjever,3,LJUBLJANICA - HEINZELOVA,smjer Av.Marina Držića,,16.020663,45.804053999000075,Donje Svetice,Ferenšćica,Sat Feb 16 2002 00:00:00 GMT+0100 (Central European Standard Time)
2,Ivanićgradska - sjever,13,ŽITNJAK - KVATERNIKOV TRG,smjer Av.Marina Držića,,16.020663,45.804053999000075,Donje Svetice,Ferenšćica,Sat Feb 16 2002 00:00:00 GMT+0100 (Central European Standard Time)
3,Jagićeva - sjever,2,ČRNOMEREC - ŽITNJAK,smjer Črnomerec,,15.957463,45.809067999000035,Adžijina,Talovčeva,Mon Jan 06 2003 00:00:00 GMT+0100 (Central European Standard Time)
4,Jarun - jug,5,PREČKO - PARK MAKSIMIR,smjer Savska cesta,,15.920564,45.78957599900008,Srednjaci,Hrvatskog sokola,Mon Dec 09 2002 00:00:00 GMT+0100 (Central European Standard Time)
4,Jarun - jug,17,PREČKO - BORONGAJ,smjer Savska cesta,,15.920564,45.78957599900008,Srednjaci,Hrvatskog sokola,Mon Dec 09 2002 00:00:00 GMT+0100 (Central European Standard Time)
5,Jarun - sjever,5,PREČKO - PARK MAKSIMIR,smjer Prečko,,15.920061,45.78990899900003,Hrvatskog sokola,Srednjaci,Fri Dec 06 2002 00:00:00 GMT+0100 (Central European Standard Time)
5,Jarun - sjever,17,PREČKO - BORONGAJ,smjer Prečko,,15.920061,45.78990899900003,Hrvatskog sokola,Srednjaci,Fri Dec 06 2002 00:00:00 GMT+0100 (Central European Standard Time)
6,Jordanovac - jug,4,SAVSKI MOST - DUBEC,smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava,16.008053001000064,45.817578999000034,Park Maksimir,Mašićeva,Mon May 22 2000 00:00:00 GMT+0200 (Central European Summer Time)
6,Jordanovac - jug,5,PREČKO - PARK MAKSIMIR,smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava,16.008053001000064,45.817578999000034,Park Maksimir,Mašićeva,Mon May 22 2000 00:00:00 GMT+0200 (Central European Summer Time)
6,Jordanovac - jug,7,ARENA ZAGREB - DUBRAVA,smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava,16.008053001000064,45.817578999000034,Park Maksimir,Mašićeva,Mon May 22 2000 00:00:00 GMT+0200 (Central European Summer Time)
6,Jordanovac - jug,11,ČRNOMEREC - DUBEC,smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava,16.008053001000064,45.817578999000034,Park Maksimir,Mašićeva,Mon May 22 2000 00:00:00 GMT+0200 (Central European Summer Time)
6,Jordanovac - jug,12,LJUBLJANICA - DUBRAVA,smjer Dubrava\Dubec,Linije 5 i 12 prometuju do okretišta Dubrava,16.008053001000064,45.817578999000034,Park Maksimir,Mašićeva,Mon May 22 2000 00:00:00 GMT+0200 (Central European Summer Time)
7,Jordanovac - sjever,4,SAVSKI MOST - DUBEC,smjer Kvaternikov trg,,16.00761,45.81763199900007,Mašićeva,Park Maksimir,Sat May 27 2000 00:00:00 GMT+0200 (Central European Summer Time)
7,Jordanovac - sjever,5,PREČKO - PARK MAKSIMIR,smjer Kvaternikov trg,,16.00761,45.81763199900007,Mašićeva,Park Maksimir,Sat May 27 2000 00:00:00 GMT+0200 (Central European Summer Time)
7,Jordanovac - sjever,7,ARENA ZAGREB - DUBRAVA,smjer Kvaternikov trg,,16.00761,45.81763199900007,Mašićeva,Park Maksimir,Sat May 27 2000 00:00:00 GMT+0200 (Central European Summer Time)
7,Jordanovac - sjever,11,ČRNOMEREC - DUBEC,smjer Kvaternikov trg,,16.00761,45.81763199900007,Mašićeva,Park Maksimir,Sat May 27 2000 00:00:00 GMT+0200 (Central European Summer Time)
7,Jordanovac - sjever,12,LJUBLJANICA - DUBRAVA,smjer Kvaternikov trg,,16.00761,45.81763199900007,Mašićeva,Park Maksimir,Sat May 27 2000 00:00:00 GMT+0200 (Central European Summer Time)
8,Kapucinska - jug,4,SAVSKI MOST - DUBEC,smjer Dubec,,16.04863000100005,45.827543999000056,Grižanska,Ljubijska,Thu Aug 17 2000 00:00:00 GMT+0200 (Central European Summer Time)
8,Kapucinska - jug,11,ČRNOMEREC - DUBEC,smjer Dubec,,16.04863000100005,45.827543999000056,Grižanska,Ljubijska,Thu Aug 17 2000 00:00:00 GMT+0200 (Central European Summer Time)
9,Kapucinska - sjever,4,SAVSKI MOST - DUBEC,smjer Kvaternikov trg,,16.048231,45.827581999000074,Ljubijska,Grižanska,Tue Aug 15 2000 00:00:00 GMT+0200 (Central European Summer Time)
9,Kapucinska - sjever,11,ČRNOMEREC - DUBEC,smjer Kvaternikov trg,,16.048231,45.827581999000074,Ljubijska,Grižanska,Tue Aug 15 2000 00:00:00 GMT+0200 (Central European Summer Time)
10,Klinika za traumatologiju - istok,4,SAVSKI MOST - DUBEC,smjer Dubrava\Mihaljevac,Linije 4 i 34 smjer Dubec, linije 8 i 33 smjer Mihaljevac,15.98373900100006,45.810451999000065,Draškovićeva,Sheraton,Thu Mar 29 2001 00:00:00 GMT+0200 (Central European Summer Time)
