"id","name","lines__number","lines__route","description","note","coordinateX","coordinateY","next_stop","previous_stop","date_built"
"1","Ivanićgradska - jug","2","ČRNOMEREC - ŽITNJAK","smjer Žitnjak","","16.019859999000062","45.803849999000079","Ferenščica","Donje Svetice","15.02.2002."
"1","Ivanićgradska - jug","3","LJUBLJANICA - SAVIŠĆE","smjer Žitnjak","","16.019859999000062","45.803849999000079","Ferenščica","Donje Svetice","15.02.2002."
"1","Ivanićgradska - jug","13","ŽITNJAK - KVATERNIKOV TRG","smjer Žitnjak","","16.019859999000062","45.803849999000079","Ferenščica","Donje Svetice","15.02.2002."
"2","Ivanićgradska - sjever","2","ČRNOMEREC - ŽITNJAK","smjer Av.Marina Držića","","16.020663","45.804053999000075","Donje Svetice","Ferenšćica","16.02.2002."
"2","Ivanićgradska - sjever","3","LJUBLJANICA - SAVIŠĆE","smjer Av.Marina Držića","","16.020663","45.804053999000075","Donje Svetice","Ferenšćica","16.02.2002."
"2","Ivanićgradska - sjever","13","ŽITNJAK - KVATERNIKOV TRG","smjer Av.Marina Držića","","16.020663","45.804053999000075","Donje Svetice","Ferenšćica","16.02.2002."
"3","Jagićeva - sjever","2","ČRNOMEREC - ŽITNJAK","smjer Črnomerec","","15.957463","45.809067999000035","Adžijina","Talovčeva","06.01.2003."
"4","Jarun - jug","5","PREČKO - PARK MAKSIMIR","smjer Savska cesta","","15.920564","45.789575999000078","Srednjaci","Hrvatskog sokola","09.12.2002."
"4","Jarun - jug","17","PREČKO - BORONGAJ","smjer Savska cesta","","15.920564","45.789575999000078","Srednjaci","Hrvatskog sokola","09.12.2002."
"5","Jarun - sjever","5","PREČKO - PARK MAKSIMIR","smjer Prečko","","15.920061","45.789908999000033","Hrvatskog sokola","Srednjaci","06.12.2002."
"5","Jarun - sjever","17","PREČKO - BORONGAJ","smjer Prečko","","15.920061","45.789908999000033","Hrvatskog sokola","Srednjaci","06.12.2002."
"6","Jordanovac - jug","4","SAVSKI MOST - DUBEC","smjer Dubrava\Dubec","Linije 5 i 12 prometuju do okretišta Dubrava","16.008053001000064","45.817578999000034","Park Maksimir","Mašićeva","22.05.2000."
"6","Jordanovac - jug","5","PREČKO - PARK MAKSIMIR","smjer Dubrava\Dubec","Linije 5 i 12 prometuju do okretišta Dubrava","16.008053001000064","45.817578999000034","Park Maksimir","Mašićeva","22.05.2000."
"6","Jordanovac - jug","7","ARENA ZAGREB - DUBRAVA","smjer Dubrava\Dubec","Linije 5 i 12 prometuju do okretišta Dubrava","16.008053001000064","45.817578999000034","Park Maksimir","Mašićeva","22.05.2000."
"6","Jordanovac - jug","11","ČRNOMEREC - DUBEC","smjer Dubrava\Dubec","Linije 5 i 12 prometuju do okretišta Dubrava","16.008053001000064","45.817578999000034","Park Maksimir","Mašićeva","22.05.2000."
"6","Jordanovac - jug","12","LJUBLJANICA - DUBRAVA","smjer Dubrava\Dubec","Linije 5 i 12 prometuju do okretišta Dubrava","16.008053001000064","45.817578999000034","Park Maksimir","Mašićeva","22.05.2000."
"7","Jordanovac - sjever","4","SAVSKI MOST - DUBEC","smjer Kvaternikov trg","","16.00761","45.817631999000071","Mašićeva","Park Maksimir","27.05.2000."
"7","Jordanovac - sjever","5","PREČKO - PARK MAKSIMIR","smjer Kvaternikov trg","","16.00761","45.817631999000071","Mašićeva","Park Maksimir","27.05.2000."
"7","Jordanovac - sjever","7","ARENA ZAGREB - DUBRAVA","smjer Kvaternikov trg","","16.00761","45.817631999000071","Mašićeva","Park Maksimir","27.05.2000."
"7","Jordanovac - sjever","11","ČRNOMEREC - DUBEC","smjer Kvaternikov trg","","16.00761","45.817631999000071","Mašićeva","Park Maksimir","27.05.2000."
"7","Jordanovac - sjever","12","LJUBLJANICA - DUBRAVA","smjer Kvaternikov trg","","16.00761","45.817631999000071","Mašićeva","Park Maksimir","27.05.2000."
"8","Kapucinska - jug","4","SAVSKI MOST - DUBEC","smjer Dubec","","16.048630001000049","45.827543999000056","Grižanska","Ljubijska","17.08.2000."
"8","Kapucinska - jug","11","ČRNOMEREC - DUBEC","smjer Dubec","","16.048630001000049","45.827543999000056","Grižanska","Ljubijska","17.08.2000."
